WeekNum,Price
0,2.123
-1,2.064
-2,2.049
-3,1.969
-4,1.941
-5,1.883
-6,1.87
-7,1.91
-8,1.951
-9,2.022
-10,2.103
-11,2.217
-12,2.343
-13,2.468
-14,2.514
-15,2.555
-16,2.518
-17,2.511
-18,2.546
-19,2.595
-20,2.625
-21,2.657
-22,2.665
-23,2.658
-24,2.621
-25,2.627
-26,2.652
-27,2.667
-28,2.672
-29,2.688
-30,2.711
-31,2.702
-32,2.692
-33,2.735
-34,2.727
-35,2.742
-36,2.737
-37,2.741
-38,2.64
-39,2.638
-40,2.651
-41,2.661
-42,2.684
-43,2.71
-44,2.772
-45,2.798
-46,2.833
-47,2.86
-48,2.827
-49,2.798
-50,2.741
-51,2.759
